Team,Victories,Losses,Total,Win Rate
1231,35,24,59,59%
1232,1,3,4,25%
1233,0,8,8,0%
1234,16,17,33,48%
1235,17,17,34,50%
1237,0,1,1,0%
1238,0,3,3,0%
1239,0,1,1,0%
1241,1,2,3,33%
1242,77,29,106,73%
1243,10,12,22,45%
1245,4,5,9,44%
1246,75,24,99,76%
1247,4,5,9,44%
1248,0,3,3,0%
1249,0,2,2,0%
1250,1,5,6,17%
1251,0,3,3,0%
1253,0,4,4,0%
1254,0,4,4,0%
1256,3,4,7,43%
1257,48,22,70,69%
1258,4,3,7,57%
1259,0,2,2,0%
1260,2,1,3,67%
1261,16,15,31,52%
1264,2,6,8,25%
1265,0,2,2,0%
1266,16,14,30,53%
1267,0,2,2,0%
1268,32,18,50,64%
1269,11,8,19,58%
1270,0,2,2,0%
1272,27,18,45,60%
1273,1,2,3,33%
1274,8,7,15,53%
1275,3,7,10,30%
1276,37,17,54,69%
1277,53,25,78,68%
1278,11,10,21,52%
1279,5,7,12,42%
1280,10,9,19,53%
1281,16,19,35,46%
1283,3,6,9,33%
1284,1,4,5,20%
1285,1,9,10,10%
1286,0,2,2,0%
1287,2,2,4,50%
1288,0,2,2,0%
1290,0,5,5,0%
1291,1,4,5,20%
1292,2,5,7,29%
1293,3,13,16,19%
1294,0,1,1,0%
1295,1,3,4,25%
1296,0,2,2,0%
1298,4,6,10,40%
1299,1,7,8,13%
1300,0,1,1,0%
1301,19,15,34,56%
1304,0,7,7,0%
1305,4,5,9,44%
1307,6,12,18,33%
1308,3,12,15,20%
1309,1,4,5,20%
1310,1,2,3,33%
1311,0,2,2,0%
1313,1,1,2,50%
1314,82,26,108,76%
1316,0,1,1,0%
1317,0,3,3,0%
1318,0,5,5,0%
1319,0,2,2,0%
1320,5,8,13,38%
1322,2,3,5,40%
1323,16,17,33,48%
1324,1,3,4,25%
1325,3,5,8,38%
1326,32,18,50,64%
1328,35,24,59,59%
1329,23,18,41,56%
1330,3,9,12,25%
1331,0,3,3,0%
1332,13,10,23,57%
1333,0,5,5,0%
1334,2,5,7,29%
1335,1,12,13,8%
1336,3,4,7,43%
1337,1,7,8,13%
1338,19,19,38,50%
1339,0,1,1,0%
1340,0,2,2,0%
1341,0,1,1,0%
1343,2,10,12,17%
1344,8,10,18,44%
1345,26,23,49,53%
1347,0,2,2,0%
1348,6,5,11,55%
1350,6,8,14,43%
1351,0,2,2,0%
1352,1,6,7,14%
1353,0,2,2,0%
1354,0,5,5,0%
1355,0,3,3,0%
1356,5,9,14,36%
1358,0,2,2,0%
1359,0,2,2,0%
1360,1,3,4,25%
1361,6,9,15,40%
1362,0,1,1,0%
1363,0,1,1,0%
1364,1,5,6,17%
1365,2,4,6,33%
1368,0,1,1,0%
1369,0,1,1,0%
1371,15,10,25,60%
1372,2,4,6,33%
1373,4,6,10,40%
1374,2,4,6,33%
1375,1,6,7,14%
1376,0,4,4,0%
1378,2,3,5,40%
1379,0,3,3,0%
1380,1,8,9,11%
1381,0,1,1,0%
1382,0,2,2,0%
1384,0,1,1,0%
1385,15,14,29,52%
1386,8,8,16,50%
1387,5,7,12,42%
1388,3,7,10,30%
1389,0,3,3,0%
1390,20,16,36,56%
1392,0,1,1,0%
1393,52,25,77,68%
1394,0,1,1,0%
1395,1,2,3,33%
1396,24,23,47,51%
1397,14,12,26,54%
1398,0,2,2,0%
1400,29,25,54,54%
1401,8,8,16,50%
1402,0,2,2,0%
1403,5,9,14,36%
1406,0,2,2,0%
1407,0,1,1,0%
1408,3,3,6,50%
1409,11,13,24,46%
1411,0,6,6,0%
1412,6,11,17,35%
1414,0,1,1,0%
1416,0,4,4,0%
1417,44,23,67,66%
1418,1,6,7,14%
1419,0,6,6,0%
1420,0,1,1,0%
1421,2,4,6,33%
1422,0,2,2,0%
1423,1,5,6,17%
1424,24,14,38,63%
1425,7,11,18,39%
1426,0,1,1,0%
1427,1,4,5,20%
1428,22,16,38,58%
1429,1,10,11,9%
1431,5,10,15,33%
1433,10,11,21,48%
1434,2,9,11,18%
1435,9,12,21,43%
1436,2,5,7,29%
1437,33,18,51,65%
1438,17,15,32,53%
1439,2,4,6,33%
1441,0,1,1,0%
1443,9,12,21,43%
1444,1,3,4,25%
1447,0,1,1,0%
1448,16,14,30,53%
1449,10,10,20,50%
1450,3,3,6,50%
1451,2,6,8,25%
1452,17,14,31,55%
1453,1,5,6,17%
1454,3,4,7,43%
1455,11,9,20,55%
1457,1,9,10,10%
1458,32,20,52,62%
1459,0,4,4,0%
1460,0,2,2,0%
1461,3,4,7,43%
1462,24,24,48,50%
1463,1,1,2,50%
